PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78
0.1552317780230891,0.12927350686778888,0.05058414088523673,0.3099450789677483,0.08444217047789099,-0.20256156664979116,-0.05822110791994673,-0.0020185479378767644,-0.09491148530399147,0.046207923821297056,0.007716244255687517,-0.02056401870282322,0.08253539504293919,-0.018326573520662543,-0.019633568704989314,0.04733472815228003,-0.03588699965358016,0.07481044922718876,0.13855581160074412,-0.00010598746439178884,-0.039545069171784,-0.021839366920447432,-0.014217971182715457,-0.016213073534058754,0.034742716272999914,-0.013783670852763271,0.05170922873167056,0.011343180167334821,-0.02860161320362844,-0.024641813724669538,-0.014628879086056557,-0.0234657045365288,-0.02051989004990043,0.020740931770066126,-0.03846297992889696,0.04093001058912647,0.004278457582862641,-0.014086951878498663,-0.009388846464804725,-0.0301794463213932,-0.028975435733649888,-0.002066498356447204,0.004940823890690304,0.01683010313943446,0.0013656168278906762,-0.03632147096216632,-0.07125514270185358,0.028832568220658713,-0.007423716220420541,-0.015956689695302118,-0.03482518788712236,-0.030645321749749592,-0.044021419907234995,0.03230843064941117,0.031250300888468044,0.0052762900788329925,0.015026965345685431,-0.021058940548418396,0.005536960524661155,0.02685978724953386,0.0030569476382996917,-0.004716847192285623,-0.025615048578182843,-0.050759057001317776,0.01525520412541778,0.024736977095920314,0.011784947717677921,0.016608649041637346,-0.05056882408494718,-0.07721564464280259,-0.0052679714682789935,-0.014681926622300778,0.04679246602888843,2.419253325578403e-05,0.04247521793793823,-0.000352347159255144,-0.0007709502193802394,-0.005099858196963773
0.0316204429910486,0.1824518927396897,0.014971200170977472,0.021780905850094734,0.026359182485120897,-0.02468920246301784,0.20403411551602846,0.004948441417912562,0.02277711918431962,-0.068601753874757,0.028061358884687505,0.0856937327686191,-0.02771468695464279,-0.05612669599841996,0.02198089587748638,0.0776959739811238,-0.004750135881701997,0.03212363999513018,-0.0012340424734055694,0.04870019983441927,0.08841636848468198,-0.08345579340369466,-0.07766536262434574,-0.1004141909578663,0.11818847325011728,-0.03836236547510633,-0.05252280286379111,0.0532812525172338,-0.1875683681845161,0.04470788945002564,0.1731372578866105,0.047409985540270455,0.11832999104116725,0.09366426824817545,-0.07659135382476104,0.04789742319116376,0.0038085086680874,0.08150282907206952,-0.2005410677231903,-0.08254259658127566,-0.03174843625285032,0.0033046027124430007,-0.058998548153111174,-0.08296795783531354,0.08488736822899733,0.09086124764263596,0.017723171829854993,0.09831783820639226,-0.028274459856607124,0.1619902811017541,0.07528380587169456,-0.11672546832513314,-0.09843103526077521,-0.0493436225183086,-0.019769042451903897,0.05983220073976989,0.08880347417724244,0.013013321191026436,-0.07078580612374377,-0.08893564371839521,-0.255951017872142,0.054745118604699626,-0.035696730653636176,-0.20755635795130606,0.1275667749463032,-0.38839406752557576,-0.15345935034143915,0.17347584192373466,0.011034189916228686,-0.03498248789797507,0.056025011205997885,0.18261321373062964,0.11534968236648505,0.22299657956994332,0.006693104315915103,0.07161161647997688,-0.062196936366081215,-0.28956901470134383
0.10648604689229968,-0.03786939724257164,0.08423528352904205,-0.02079384826104086,0.01915126553674619,0.06194846727701492,0.1442554860440718,-0.04572017052291715,-0.024175136633355576,-0.052003654963328524,0.01084905243592643,-0.012000965517835718,-0.020872469071046812,-0.1194502595991763,-0.0022844296357110785,0.07031754655858403,0.02086322290974149,-0.13395827798156662,0.027669766223342107,0.1571252946836333,0.07047651385239032,-0.16142743433604365,-0.016093545504862177,0.1096753614055173,0.21720085372554032,-0.22073622588522196,-0.03927156544279897,0.17287273095560918,0.1237089822145526,0.025820248844605355,0.16314249073120926,-0.021718797372021353,0.17417588792471816,0.1020873995176316,-0.16212321964504467,-0.05319185326850126,0.1315541311409146,-0.15720930250212867,0.02162858970197673,-0.23214939497534054,-0.07341841012822783,0.09624774912107202,-0.03530631379115342,-0.08215475901369478,0.11587848851082068,0.06582552003800003,0.21016380554842948,-0.10433004951584858,-0.02892715269095266,-0.0791308754262678,-0.15958911521349162,0.005169345006727041,0.03782030264068814,0.0033166962279745638,0.032935999839833016,-0.12497340575162247,0.11855953386273557,-0.06173780727558531,0.007450678595125394,0.06049521317249946,0.13542938731744736,-0.0880981003596443,-0.007755663847291916,0.059895745544959966,0.026702284956982902,-0.008658180402657733,-0.010589738489797202,0.06229108163158385,0.11285778052624547,-0.0006737680034134726,0.06607225457181481,-0.05972029080298207,-0.06655105808853388,-0.07423989970438394,0.08589730723385015,-0.03328687003289222,-0.11727377513263447,0.18608078246299115
-0.004070093902037386,0.05109706485254317,0.04382943038081155,0.026364590928834086,-0.02887841469482503,-0.03659008101146756,0.11687555604084862,0.009206149130750957,0.024662969896092124,-0.037939403990767964,-0.00016609748993813567,0.0198422076756836,0.019915031114911996,-0.04490053859456172,-0.04022083616118389,0.13528875409977625,0.014744106078065367,0.1622233815921329,-0.14241771034097683,-0.0943979301100513,0.1538964122304235,-0.0326813704496445,-0.059198920294265274,-0.22641713130539826,0.1615522222396496,-0.045966346516530435,-0.11535269706341386,0.02682752596101167,-0.2768420469679289,0.13254820769798095,0.14939917997466826,-0.05184579169487824,0.2457036645877839,-0.024270101250221582,-0.02831767424677445,0.18290917809716944,-0.13627502786433138,0.21230561640873757,-0.22215199517551446,0.2888237212340962,0.03829506652579005,-0.11594008914119701,-0.03819970849457481,-0.058520727366323466,0.02589342565569374,0.034161607508339395,0.01794387184979776,0.1137832247628136,-0.009448445230808393,-0.01864268634145523,0.07225007056462114,0.1314774756499826,-0.15484556225155366,0.014580573163156675,-0.10766604486922882,-0.0430863431720116,0.05088496600344854,-0.1607684679382148,0.0328419581761522,0.007376670457325991,0.12272543395073937,-0.09220403951096597,0.06262793381744758,0.13538456079593747,-0.24714427828631608,0.19717249625262684,0.03809239027660497,-0.09829476302227032,-0.0010604676971742583,0.01803885752652898,-0.0779924173125591,-0.11020943282806242,-0.09617391659749906,-0.08184522613664823,0.0021253188663652514,-0.0449559639462299,0.04672024757850992,0.13497299536433877
-0.08483042348965791,0.013779940438463534,0.08779425738604901,0.010400343619570818,0.0743883236830066,0.01974181938362657,0.032005861670681854,-0.0035602028731524936,-0.053554139998846464,0.07454536071883937,0.19676149827061126,0.19270464838726672,-0.10457435026615572,-0.04107583466274225,0.017622762579265677,0.058873179877613424,0.003349091382066356,-0.03254751136409857,0.01933463010711131,0.0020503365901841336,0.03847257479681709,0.018956329319281144,-0.06531300565379575,0.03296251975354953,0.0182717530747238,0.08706981564997013,0.015748103304137243,-0.09354415311353875,-0.06444477631201348,0.015307039116565266,0.07697781120525707,-0.043388371856201126,0.03095330861346666,0.02014600986527102,0.04618336782211331,-0.013838272262683901,0.1648629320307498,0.11130444765401204,-0.0683173162594289,-0.17352381095567965,-0.17215221336676287,-0.010600910782846973,-0.07733090824267827,-0.06681559644693469,0.11990964579228076,-0.09314434285001241,-0.029043745899015178,0.11256930559418461,-0.2571202747091883,0.4649745059859047,0.13854268485352483,-0.11507054824018773,0.29594397206725176,0.06478865304282767,0.1678245004353946,0.020527152767857763,-0.2762831361667769,0.12511400427169428,0.12402490741164374,0.05510417470284798,0.1247981274619276,0.046963266020269706,-0.06976958970741191,-0.06428398067426541,-0.0765530072295893,0.128087177965815,-0.018778590328693966,-0.1016545406383444,0.04569025760105193,0.009404705450902745,-0.057178716811344496,-0.05397438146506649,0.043387613091776106,-0.0571248554741792,0.07231293664193361,-0.09808157166027938,0.09839397072090973,0.0696885656112833
-0.1082813994069022,0.05587939294792443,0.04921737745661338,0.282179678672831,-0.1572161079700547,-0.08800642063427616,-0.09617245925305257,-0.2343293482574557,0.05426518988631557,0.03324951889915527,0.050432505386059485,-0.06035242897219417,-0.08886749057231882,-0.06282102695922381,0.11156108472503776,0.051886612796272005,0.06928744790917579,-0.042346300506725956,-0.1650410971141519,0.13186902844467596,-0.000356200998171189,-0.006206129357037476,-0.025180614420826215,-0.10214128182496834,0.02286550690448324,-0.007047402489251191,0.010854152064105197,-0.018778902496132194,0.007938556299529996,0.02030868002464874,-0.01675267678574042,0.01279561968142481,-0.04163047313025032,0.01552331674408218,-0.014738370084212082,-0.03996458936204742,0.000937095206463844,-0.02642819041220449,0.02658496851755774,-0.03836797067738236,0.00040839130517185407,-0.0447329869360083,0.03800459379048475,-0.0014543322833539367,-0.031365906884294796,-0.01035575934871543,-0.01932644212890021,0.014255392386762197,0.05853525912379868,-0.017494933204129218,0.008515901217911577,0.004051290618943777,0.03108015687148437,-0.03697659989706561,0.011497935657320865,0.024488961027050372,0.010885215617199039,0.022134484713791796,-0.03710049456149343,0.0520546110151024,-0.021598438682949375,0.03148646590517555,0.044308624341553096,0.018494368645215517,0.030590294635611796,0.006470611099822957,-0.017888691660194966,-0.05864845120765322,0.04216893805288363,0.0737337240738648,-0.012751096411944966,-0.053048227216441854,0.02010100169273793,0.017535662729293872,0.00900671758557002,-0.029074417200418434,-0.052631386071236574,0.07162693870637304
-0.11653801937284522,0.0395877029314152,0.08921221756744104,0.10648968307857232,-0.06126352361522561,-0.0713874539288788,-0.0052931607906989975,-0.09513881912321594,-0.023589556886629295,0.0009180449186950365,0.13014800145025326,-0.027817999785004523,-0.02373989754537134,-0.11121104187175086,-0.010126923242230218,0.1395527820309779,0.12472359353505837,0.010850378536063549,-0.1687716673588015,0.0987721564373949,0.1369089983901995,0.07738276313291503,-0.10060576744332894,-0.25051297124208094,0.05407631040444457,-0.05795420571949177,-0.06949268845491538,-0.07439509572428343,-0.008137248432793287,0.0758790419561477,-0.09020498494337617,-0.12553180987866247,-0.19380978830563644,0.06266088936639427,0.03355872068463974,-0.11587404024068346,-0.06822851593257505,-0.018424548508286016,0.3474705165324591,0.0075055581179183685,-0.07321605082397051,-0.18405765630790297,-0.008999510485443878,-0.015364028205335618,0.04269949106365024,0.050959701691489265,-0.0611511215926855,0.01095999384662948,0.009811446159414403,-0.03043631053642812,-0.11934383138617896,0.06074935766220917,0.08458978676969266,0.07198421768082533,-0.1512959899432507,0.037977298770068134,-0.03731941857866298,0.08930394945938243,0.03837837306920422,-0.07323363603636969,0.19570081709200668,-0.17131819549496297,-0.014912216005407979,0.06731217322207812,0.06880493739784163,-0.02939705827058963,-0.07825029419023774,0.11217767011227131,-0.006875521746771238,-0.17673302037794153,0.013857164391151611,0.11349439857922074,0.029062663319857185,0.029964619860961102,-0.014593112838358402,0.023465227839016455,0.02573485335293161,-0.07459691044799562
-0.060660510173844565,0.006380813015036978,0.037940993913705534,0.27627956074625365,-0.17655257484259568,-0.059536345299753324,-0.11383784061491839,-0.22600593033543923,0.09190414574228112,0.02623762942248531,-0.03720080984881588,-0.056539780442829084,-0.11601604200322913,-0.015542051160809207,0.13119703662543475,-0.03065045571525314,-0.002906468931923558,-0.0629467390797093,-0.08783608179854621,0.0674888085486756,-0.09239735614183717,-0.055074737767904405,0.05762828863798193,0.06474076130109593,-0.006258899660724973,0.039153975758030334,0.05870265379715234,0.04121685327055114,0.02588031052960884,-0.002267174601511379,0.02882452820523411,0.07530639029126393,0.08248083189064087,-0.02981723517862751,-0.032270625955118565,0.051293216157647314,0.0423286881474983,-0.0026753588660109254,-0.1915793881514559,-0.03538868188362494,0.037982183695472065,0.0593388995956139,0.04791019768037427,0.005961395768378265,-0.06467056208359992,-0.0536694152129476,0.02838995860681251,-0.009295358595698064,0.0385360179671579,-0.0009839618704498357,0.08930894466363296,-0.03042342297108193,-0.029588508665085375,-0.07765887961237489,0.1321637307393454,-0.010393991097284165,0.026547266757477497,-0.054983730109542724,-0.03663221880036934,0.110884100491364,-0.12764528600230426,0.13266336238696194,0.062200792697550134,-0.024833758293963983,-0.03386832469050113,0.01434710925786277,0.018915894789408385,-0.10072028601189516,0.05028827585407947,0.14111456316951188,0.029022577721941493,-0.08811804796830583,-0.027235729906884307,-0.024594033929585028,0.004593456932376583,-0.028532875050022236,-0.038458986526363405,0.06724272317866017
-0.03910942403747521,0.08045662831309676,-0.0465942772422383,0.16616946716541808,0.01742655979160021,-0.10784844826844303,-0.050404882411891,-0.15304686674270904,-0.06869513316953223,-0.03388944685438781,0.0019231204993501389,-0.0391739374405761,0.1800442513905227,0.024995685795397862,-0.07821454327823746,0.04362628106670283,-0.23503395700500584,0.047735201292924245,0.34490703502878034,-0.180543325792446,-0.03679824708905118,0.01899328415524801,-0.05988360293462985,0.2306761141319825,0.13714186891707597,0.030747040577120646,-0.023385571413855777,0.04883007046128129,-0.02529917251032726,-0.028567466563323395,-0.04328839297519091,-0.11165318747848951,-0.0017492138630238602,-0.06885483116982624,0.0425963529372807,-0.011345958718212881,-0.035433179358569114,0.015074238267853944,-0.06878350883318679,-0.004203688370753342,0.04388797579984975,0.03334476392286724,0.01981374727801768,0.008886247445033392,0.0749682315726965,-0.07651289708658068,-0.0841522498026904,-0.07562322284805446,-0.030294710752086947,0.01576872900016716,-0.10925581701417211,0.05635062807695648,-0.011525554543507191,0.1095872770667638,-0.11212954795225273,0.030235080882627524,-0.08198172696271745,-0.03388700710342884,0.11552907732095127,0.052896711874810126,0.14195792205079047,-0.1195994127011892,-0.016744255857939053,-0.025155878789323363,-0.09983869064205297,0.025050421111586618,-0.008248880481486885,0.21137005117223956,-0.12358085464500734,-0.18043560013182572,0.08929902325246393,-0.0002638583898568053,-0.03183268712921223,-0.031194195796463313,0.010104895897082234,0.008455789333070696,0.009789839697266088,-0.04364452715578759
-0.12057047754652982,-0.021697675257333196,0.04715151050955435,-0.001510158982072185,-0.052112900497425646,-0.001837582339703825,-0.01605425189316108,0.018500055568753403,-0.2687331519969636,-0.2844341952889301,0.12781050681473718,0.02615094743802915,0.1404358376892012,-0.06798503000919176,-0.13331037533578427,-0.1364719604408435,-0.00010829140298416334,-0.16103299187893402,-0.04370977673442339,0.07070585531221953,-0.025587185005529034,-0.033845060089011204,-0.10889917421192896,0.04965888023536639,-0.05321282381732259,0.1523654344157542,0.11148792639951009,-0.06519372823033642,-0.11936681914581077,-0.0007755993942257337,0.020875796167319022,0.016969837686485377,-0.04863701032974006,0.11384632367189797,-0.0866376527334428,0.15500343032865102,-0.0026048497862485452,-0.004506469689973825,-0.09680083835947842,0.049668826689897125,-0.0659746242365919,0.07917998680895735,-0.05706987258804268,0.027523679516415676,-0.013462012378561634,-0.07770423173286771,0.03250939859912284,-0.0596372821772625,0.13220103365738345,-0.07815095271004018,0.054672843029940105,-0.06586234220827239,-0.010511058538980253,-0.06864411341676652,0.029956940415195643,-0.03771530861571569,0.05775630857731121,-0.01412272748439243,-0.06370172235291682,-0.00812402427233054,0.008733089608826995,-0.047348341427401054,0.040960486413206015,0.09767439646669088,0.08170570387143689,0.05829487747817176,0.0005241717424375389,0.025571997686659777,-0.04371540875978429,-0.026247109372206617,0.020879342777686695,-0.10215902330823802,0.006247785063376199,-0.010166724622868918,-0.004749677720280274,0.08807775172871708,-0.07160233161754326,-0.048179219486645816
