cnpj,Cluster
0,2
1023570,1
10264663,0
10371492,2
10664513,0
1149953,2
1181521,1
122327,2
13009717,0
14388334,2
15114366,1
15173776,0
1522368,1
1701201,1
17167412,2
17184037,2
17192451,1
17298092,1
17351180,0
2038232,1
208,0
2206577,4
2318507,1
2507173,2
253448,1
27406222,4
27937333,1
28127603,0
28195667,2
29030467,1
2977348,2
2992446,2
3012230,0
3017677,2
30306294,1
30723886,1
31597552,1
31880826,0
31895683,0
32062580,0
32254138,2
33040601,2
33042151,1
33042953,1
33124959,2
33132044,0
33136888,4
33172537,1
3323840,1
33254319,2
33349358,2
33466988,1
33479023,1
33603457,2
33644196,1
33753740,1
33876475,1
33884941,2
33923111,1
33923798,1
33987793,1
34098442,4
34111187,1
34169557,0
34270520,2
3502961,2
3532415,1
360305,1
3609817,1
3634220,2
3722919,0
40429946,0
411939,1
416968,2
4184779,4
43180355,4
43717511,2
4379829,4
43818780,2
44189447,1
4452473,0
4862600,4
4866275,1
48795256,1
4902979,1
4913711,0
49336860,1
5040481,2
50585090,1
517645,2
5192316,4
54403563,2
558456,0
5676026,2
57839805,0
58017179,2
58160789,1
58497702,2
58616418,1
59109165,2
59118133,2
59274605,2
59285411,0
59438325,1
59461152,1
59588111,1
60419645,4
60498557,1
60518222,1
60701190,1
60746948,1
60770336,1
60779196,4
60814191,2
60850229,0
60889128,2
61024352,2
61033106,4
61088183,1
61186680,2
61190658,2
61199881,1
61348538,1
61533584,1
61784278,0
61820817,1
62136254,1
62144175,2
62232889,2
62237425,0
62331228,1
62421979,2
6881898,4
68900810,2
69141539,1
71027866,2
7207996,0
7221678,4
7237373,1
7441209,2
7450604,0
74828799,2
75647891,1
7679404,0
7707650,0
78632767,1
795423,2
80271455,0
8030215,2
8257293,2
8357240,4
90400888,1
90731688,0
91884981,2
92228410,2
92702067,2
92874270,2
92894922,1
9391857,2
9516419,1
0,2
1023570,1
10371492,2
10664513,0
11417016,2
11434526,2
11476673,2
1149953,2
1181521,1
122327,2
13009717,0
1432688,0
14388334,2
15114366,1
15173776,0
1522368,1
1701201,1
17167412,0
17184037,2
17192451,1
17298092,1
17351180,0
2038232,1
208,0
2206577,4
2318507,0
253448,1
27406222,4
27937333,1
28127603,0
28195667,2
29030467,1
2977348,2
2992446,2
3012230,2
3017677,2
30306294,1
30723886,1
31880826,0
31895683,0
32062580,0
32254138,2
33040601,2
33042151,1
33042953,1
33124959,2
33132044,2
33136888,4
33172537,1
3323840,1
33254319,2
33349358,2
33466988,1
33479023,1
33588252,0
33603457,2
33644196,1
33753740,1
33876475,1
33884941,2
33923111,1
33923798,1
33987793,1
34098442,4
34111187,1
34169557,0
34270520,2
3502961,2
3532415,1
360305,2
3609817,1
3634220,2
3722919,0
40429946,0
411939,2
416968,2
4184779,4
43180355,4
4379829,4
43818780,2
44189447,1
4452473,0
4862600,2
4866275,1
48795256,1
4902979,1
4913711,0
49336860,1
5040481,2
50585090,0
517645,2
5192316,4
54403563,2
556603,2
558456,0
5676026,2
57839805,0
58017179,2
58160789,1
58497702,2
58616418,1
59109165,2
59118133,2
59274605,2
59285411,2
59438325,2
59461152,1
5956581,4
59588111,1
60419645,4
60498557,1
60518222,1
60701190,1
60746948,1
60770336,0
60779196,4
60814191,2
60850229,0
60889128,2
61024352,1
61033106,2
61088183,1
61186680,1
61190658,2
61348538,1
61533584,1
61784278,0
61820817,1
62136254,1
62144175,1
62232889,2
62237425,0
62331228,1
62421979,4
6881898,4
68900810,2
71027866,2
