CÓDIGOS,TÍTULOS CONTÁBEIS,ATRIBUTOS,E,conta
1.3.3.02.00.00-5,CONTRATOS DE CÂMBIO - VENDA DE MOEDA ESTRANGEIRA,,130,1330200005
1.3.3.02.10.00-2,Liquidação Pronta,,-,1330210002
1.3.3.02.20.00-9,Liquidação Futura,,-,1330220009
1.3.3.05.00.00-4,INSTRUMENTOS FINANCEIROS DERIVATIVOS - HEDGE DE CARTEIRA DE ATIVOS - LIG,,130,1330500004
1.3.3.06.00.00-7,CONTRATOS DE COMPRA DE OURO,,130,1330600007
1.3.3.07.00.00-0,CONTRATOS DE VENDA DE OURO,,130,1330700000
1.3.3.15.00.00-3,OPERAÇÕES DE SWAP,,130,1331500003
1.3.3.30.00.00-6,COMPRAS A TERMO A RECEBER,,130,1333000006
1.3.3.30.10.00-3,Operações com Ações,,-,1333010003
1.3.3.30.30.00-7,Operações Com Outros Ativos Financeiros,,-,1333030007
1.3.3.30.40.00-4,Operações Com Ativos Não Financeiros,,-,1333040004
1.3.3.35.00.00-1,VENDAS A TERMO A RECEBER,,130,1333500001
1.3.3.35.10.00-8,Operações com Ações,,-,1333510008
1.3.3.35.30.00-2,Operações Com Outros Ativos Financeiros,,-,1333530002
1.3.3.35.40.00-9,Operações Com Ativos Não Financeiros,,-,1333540009
1.3.3.45.00.00-0,MERCADOS FUTUROS - AJUSTES DIARIOS A RECEBER,,130,1334500000
1.3.3.60.00.00-3,PRÊMIOS DE OPÇÕES A EXERCER - AÇÕES,,130,1336000003
1.3.3.60.10.00-0,Compras de Opções de Compra,,-,1336010000
1.3.3.60.20.00-7,Compras de Opções de Venda,,-,1336020007
1.3.3.70.00.00-2,"PREMIOS DE OPÇÕESA EXERCER - OUTROS ATIVOS, EXCETO AÇÕES",,130,1337000002
1.3.3.70.10.00-9,Compras de Opções de Compra,,-,1337010009
1.3.3.70.20.00-6,Compras de Opções de Venda,,-,1337020006
1.3.3.80.00.00-1,DERIVATIVOS DE CRÉDITO,,130,1338000001
1.3.3.80.10.00-8,Swap de Crédito,,-,1338010008
1.3.3.80.30.00-2,Swap de Taxa de Retorno Total,,-,1338030002
1.3.3.85.00.00-6,OUTROS INSTRUMENTOS FINANCEIROS DERIVATIVOS,,130,1338500006
1.3.4.00.00.00-6,Vinculados ao Banco Central,,-,1340000006
1.3.4.10.00.00-5,BANCO CENTRAL - DEPÓSITOS PARA CAPITAL EM TÍTULOS,,130,1341000005
1.3.4.10.01.00-4,Títulos Públicos Federais,,-,1341001004
1.3.4.10.01.10-7,Saldo Contábil Bruto,,-,1341001107
1.3.4.10.01.40-6,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1341001406
1.3.4.10.01.70-5,(+/-) Ajuste de Hedge de Valor Justo,,-,1341001705
1.3.4.10.01.80-8,(+/-) Ajuste a Valor Justo,,-,1341001808
1.3.4.10.99.00-9,Outros,,-,1341099009
1.3.4.10.99.10-2,Saldo Contábil Bruto,,-,1341099102
1.3.4.10.99.40-1,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1341099401
