CÓDIGOS,TÍTULOS CONTÁBEIS,ATRIBUTOS,E,conta
1.6.3.25.01.13-4,Custos de Transação Diferidos - TJEO Diferenciada,,-,1632501134
1.6.3.25.01.14-1,(+/-) Prêmio ou Desconto,,-,1632501141
1.6.3.25.01.15-8,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1632501158
1.6.3.25.01.40-2,(-) Perda incorrida Associada ao Risco de Crédito,,-,1632501402
1.6.3.25.01.50-5,(-) Provisão Adicional,,-,1632501505
1.6.3.25.01.60-8,(-) Perda Esperada Associada ao Risco de Crédito,,-,1632501608
1.6.3.25.01.70-1,(+/-) Ajuste de hedge de valor justo,,-,1632501701
1.6.3.25.01.80-4,(+/-) Ajuste a Valor Justo,,-,1632501804
1.6.3.35.00.00-0,FINANCIAMENTOS RURAIS - APLICAÇÕES COM RECURSOS DIRECIONADOS DE LCA,,163,1633500000
1.6.3.35.01.00-9,Financiamentos Rurais - Recursos Direcionados LCA,,-,1633501009
1.6.3.35.01.10-2,Saldo Contratual,,-,1633501102
1.6.3.35.01.11-9,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1633501119
1.6.3.35.01.12-6,(-) Receitas Diferidas - TJEO Diferenciada,,-,1633501126
1.6.3.35.01.13-3,Custos de Transação Diferidos - TJEO Diferenciada,,-,1633501133
1.6.3.35.01.14-0,(+/-) Prêmio ou Desconto,,-,1633501140
1.6.3.35.01.15-7,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1633501157
1.6.3.35.01.40-1,(-) Perda incorrida Associada ao Risco de Crédito,,-,1633501401
1.6.3.35.01.50-4,(-) Provisão Adicional,,-,1633501504
1.6.3.35.01.60-7,(-) Perda Esperada Associada ao Risco de Crédito,,-,1633501607
1.6.3.35.01.70-0,(+/-) Ajuste de hedge de valor justo,,-,1633501700
1.6.3.35.01.80-3,(+/-) Ajuste a Valor Justo,,-,1633501803
1.6.3.45.00.00-9,FINANCIAMENTOS RURAIS COM RECURSOS DE FONTES PÚBLICAS,,163,1634500009
1.6.3.45.01.00-8,Financiamentos Rurais - Recursos Fontes Públicas,,-,1634501008
1.6.3.45.01.10-1,Saldo Contratual,,-,1634501101
1.6.3.45.01.11-8,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1634501118
1.6.3.45.01.12-5,(-) Receitas Diferidas - TJEO Diferenciada,,-,1634501125
1.6.3.45.01.13-2,Custos de Transação Diferidos - TJEO Diferenciada,,-,1634501132
1.6.3.45.01.14-9,(+/-) Prêmio ou Desconto,,-,1634501149
1.6.3.45.01.15-6,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1634501156
1.6.3.45.01.40-0,(-) Perda incorrida Associada ao Risco de Crédito,,-,1634501400
1.6.3.45.01.50-3,(-) Provisão Adicional,,-,1634501503
1.6.3.45.01.60-6,(-) Perda Esperada Associada ao Risco de Crédito,,-,1634501606
1.6.3.45.01.70-9,(+/-) Ajuste de hedge de valor justo,,-,1634501709
1.6.3.45.01.80-2,(+/-) Ajuste a Valor Justo,,-,1634501802
1.6.4.00.00.00-5,Financiamentos Imobiliários,,-,1640000005
1.6.4.10.00.00-4,IMÓVEIS NÃO RESIDENCIAIS,,169,1641000004
1.6.4.10.01.00-3,Imóveis Não Residenciais,,-,1641001003
1.6.4.10.01.10-6,Saldo Contratual,,-,1641001106
1.6.4.10.01.11-3,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1641001113
1.6.4.10.01.12-0,(-) Receitas Diferidas - TJEO Diferenciada,,-,1641001120
1.6.4.10.01.13-7,Custos de Transação Diferidos - TJEO Diferenciada,,-,1641001137
1.6.4.10.01.14-4,(+/-) Prêmio ou Desconto,,-,1641001144
1.6.4.10.01.15-1,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1641001151
1.6.4.10.01.40-5,(-) Perda incorrida Associada ao Risco de Crédito,,-,1641001405
1.6.4.10.01.50-8,(-) Provisão Adicional,,-,1641001508
1.6.4.10.01.60-1,(-) Perda Esperada Associada ao Risco de Crédito,,-,1641001601
1.6.4.10.01.70-4,(+/-) Ajuste de hedge de valor justo,,-,1641001704
1.6.4.10.01.80-7,(+/-) Ajuste a Valor Justo,,-,1641001807
1.6.4.30.00.00-2,IMÓVEIS RESIDENCIAIS,,169,1643000002
1.6.4.30.01.00-1,Imóveis Residenciais,,-,1643001001
1.6.4.30.01.10-4,Saldo Contratual,,-,1643001104
1.6.4.30.01.11-1,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1643001111
1.6.4.30.01.12-8,(-) Receitas Diferidas - TJEO Diferenciada,,-,1643001128
1.6.4.30.01.13-5,Custos de Transação Diferidos - TJEO Diferenciada,,-,1643001135
1.6.4.30.01.14-2,(+/-) Prêmio ou Desconto,,-,1643001142
1.6.4.30.01.15-9,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1643001159
1.6.4.30.01.40-3,(-) Perda incorrida Associada ao Risco de Crédito,,-,1643001403
1.6.4.30.01.50-6,(-) Provisão Adicional,,-,1643001506
1.6.4.30.01.60-9,(-) Perda Esperada Associada ao Risco de Crédito,,-,1643001609
1.6.4.30.01.70-2,(+/-) Ajuste de hedge de valor justo,,-,1643001702
1.6.4.30.01.80-5,(+/-) Ajuste a Valor Justo,,-,1643001805
1.6.4.40.00.00-1,FINANCIAMENTOS IMOBILIÁRIOS - CARTEIRAS DE ATIVOS - LIG,,169,1644000001
1.6.4.40.01.00-0,Financiamentos Imobiliários - Carteiras de Ativos - LIG,,-,1644001000
1.6.4.40.01.10-3,Saldo Contratual,,-,1644001103
1.6.4.40.01.11-0,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1644001110
1.6.4.40.01.12-7,(-) Receitas Diferidas - TJEO Diferenciada,,-,1644001127
1.6.4.40.01.13-4,Custos de Transação Diferidos - TJEO Diferenciada,,-,1644001134
1.6.4.40.01.14-1,(+/-) Prêmio ou Desconto,,-,1644001141
1.6.4.40.01.15-8,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1644001158
1.6.4.40.01.40-2,(-) Perda incorrida Associada ao Risco de Crédito,,-,1644001402
1.6.4.40.01.50-5,(-) Provisão Adicional,,-,1644001505
1.6.4.40.01.60-8,(-) Perda Esperada Associada ao Risco de Crédito,,-,1644001608
1.6.4.40.01.70-1,(+/-) Ajuste de hedge de valor justo,,-,1644001701
1.6.4.40.01.80-4,(+/-) Ajuste a Valor Justo,,-,1644001804
1.6.5.00.00.00-2,"Financiamentos de Títulos, Valores Mobiliários e Ativos Virtuais",,-,1650000002
1.6.5.20.00.00-0,FINANCIAMENTOS DE CONTA MARGEM,,171,1652000000
1.6.5.20.01.00-9,Financiamentos de Conta Margem para Aquisição de Valores Mobiliários,,-,1652001009
1.6.5.20.01.10-2,Saldo Contratual,,-,1652001102
1.6.5.20.01.11-9,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1652001119
1.6.5.20.01.12-6,(-) Receitas Diferidas - TJEO Diferenciada,,-,1652001126
1.6.5.20.01.13-3,Custos de Transação Diferidos - TJEO Diferenciada,,-,1652001133
1.6.5.20.01.14-0,(+/-) Prêmio ou Desconto,,-,1652001140
1.6.5.20.01.15-7,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1652001157
1.6.5.20.01.40-1,(-) Perda incorrida Associada ao Risco de Crédito,,-,1652001401
1.6.5.20.01.50-4,(-) Provisão Adicional,,-,1652001504
1.6.5.20.01.60-7,(-) Perda Esperada Associada ao Risco de Crédito,,-,1652001607
1.6.5.20.01.70-0,(+/-) Ajuste de hedge de valor justo,,-,1652001700
1.6.5.20.01.80-3,(+/-) Ajuste a Valor Justo,,-,1652001803
1.6.5.20.45.00-3,Financiamentos de Conta Margem para Aquisição de Ativos Virtuais,,-,1652045003
1.6.5.20.45.10-6,Saldo Contratual,,-,1652045106
1.6.5.20.45.11-3,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1652045113
1.6.5.20.45.12-0,(-) Receitas Diferidas - TJEO Diferenciada,,-,1652045120
1.6.5.20.45.13-7,Custos de Transação Diferidos - TJEO Diferenciada,,-,1652045137
1.6.5.20.45.14-4,(+/-) Prêmio ou Desconto,,-,1652045144
1.6.5.20.45.15-1,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1652045151
1.6.5.20.45.40-5,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1652045405
1.6.5.20.45.50-8,(-) Provisão Adicional,,-,1652045508
1.6.5.20.45.60-1,(-) Perda Esperada Associada ao Risco de Crédito,,-,1652045601
1.6.5.20.45.70-4,(+/-) Ajuste de Hedge de Valor Justo,,-,1652045704
1.6.5.20.45.80-7,(+/-) Ajuste a Valor Justo,,-,1652045807
1.6.6.00.00.00-9,Financiamentos de Infraestrutura e Desenvolvimento,,-,1660000009
1.6.6.10.00.00-8,FINANCIAMENTOS DE INFRAESTRUTURA E DESENVOLVIMENTO,,169,1661000008
1.6.6.10.01.00-7,Financiamentos de Infraestrutura e Desenvolvimento,,-,1661001007
1.6.6.10.01.10-0,Saldo Contratual,,-,1661001100
1.6.6.10.01.11-7,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1661001117
1.6.6.10.01.12-4,(-) Receitas Diferidas - TJEO Diferenciada,,-,1661001124
1.6.6.10.01.13-1,Custos de Transação Diferidos - TJEO Diferenciada,,-,1661001131
1.6.6.10.01.14-8,(+/-) Prêmio ou Desconto,,-,1661001148
1.6.6.10.01.15-5,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1661001155
1.6.6.10.01.40-9,(-) Perda incorrida Associada ao Risco de Crédito,,-,1661001409
1.6.6.10.01.50-2,(-) Provisão Adicional,,-,1661001502
1.6.6.10.01.60-5,(-) Perda Esperada Associada ao Risco de Crédito,,-,1661001605
1.6.6.10.01.70-8,(+/-) Ajuste de hedge de valor justo,,-,1661001708
1.6.6.10.01.80-1,(+/-) Ajuste a Valor Justo,,-,1661001801
1.7.0.00.00.00-0,OPERAÇÕES DE ARRENDAMENTO,,-,1700000000
1.7.4.00.00.00-8,Arrendador,,-,1740000008
1.7.4.10.00.00-7,FINANCEIRO,,180,1741000007
1.7.4.10.10.00-4,Arrendamento a Receber,,-,1741010004
1.7.4.10.20.00-1,Valor Residual Não Garantido,,-,1741020001
1.7.4.10.40.00-5,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1741040005
1.7.4.10.50.00-2,(-) Provisão Adicional,,-,1741050002
1.7.4.10.60.00-9,(-) Perda Esperada Associada ao Risco de Crédito,,-,1741060009
1.7.4.10.70.00-6,(+/-) Ajuste de Hedge de Valor Justo,,-,1741070006
1.7.4.20.00.00-6,OPERACIONAL,,180,1742000006
1.7.4.20.10.00-3,Arrendamentos a Receber,,-,1742010003
1.7.4.20.40.00-4,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1742040004
1.7.4.20.60.00-8,(-) Perda Esperada Associada ao Risco de Crédito,,-,1742060008
1.7.5.00.00.00-5,Arrendador - Subarrendamento,,-,1750000005
1.7.5.10.00.00-4,FINANCEIRO,,180,1751000004
1.7.5.10.10.00-1,Subarrendamento a Receber,,-,1751010001
1.7.5.10.20.00-8,Valor Residual Não Garantido,,-,1751020008
1.7.5.10.40.00-2,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1751040002
1.7.5.10.50.00-9,(-) Provisão Adicional,,-,1751050009
1.7.5.10.60.00-6,(-) Perda Esperada Associada ao Risco de Crédito,,-,1751060006
1.7.5.10.70.00-3,(+/-) Ajuste de Hedge de Valor Justo,,-,1751070003
1.7.5.20.00.00-3,OPERACIONAL,,180,1752000003
1.7.5.20.10.00-0,Subarrendamentos a Receber,,-,1752010000
1.7.5.20.40.00-1,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1752040001
1.7.5.20.60.00-5,(-) Perda Esperada Associada ao Risco de Crédito,,-,1752060005
1.7.6.00.00.00-2,Arrendatário,,-,1760000002
1.7.6.10.00.00-1,ANTECIPAÇÕES DE PAGAMENTOS DE ARRENDAMENTO,,180,1761000001
1.8.0.00.00.00-3,OUTROS CRÉDITOS,,-,1800000003
1.8.1.00.00.00-0,Operações com Características de Concessão de Crédito,,-,1810000000
1.8.1.10.00.00-9,CRÉDITOS POR AVAIS E FIANÇAS HONRADOS,,172,1811000009
1.8.1.10.10.00-6,Créditos por Avais e Fianças Honrados,,-,1811010006
1.8.1.10.10.10-9,Saldo Contratual,,-,1811010109
1.8.1.10.10.11-6,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1811010116
1.8.1.10.10.12-3,(-) Receitas Diferidas - TJEO Diferenciada,,-,1811010123
1.8.1.10.10.13-0,Custos de Transação Diferidos - TJEO Diferenciada,,-,1811010130
1.8.1.10.10.14-7,(+/-) Prêmio ou Desconto,,-,1811010147
1.8.1.10.10.15-4,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1811010154
1.8.1.10.10.40-8,(-) Perda incorrida Associada ao Risco de Crédito,,-,1811010408
1.8.1.10.10.50-1,(-) Provisão Adicional,,-,1811010501
1.8.1.10.10.60-4,(-) Perda Esperada Associada ao Risco de Crédito,,-,1811010604
1.8.1.10.10.70-7,(+/-) Ajuste de hedge de valor justo,,-,1811010707
1.8.1.10.10.80-0,(+/-) Ajuste a Valor Justo,,-,1811010800
1.8.1.20.00.00-8,ADIANTAMENTO DE CONTRATO DE CÂMBIO,,172,1812000008
1.8.1.20.10.00-5,Adiantamento de Contrato de Câmbio,,-,1812010005
1.8.1.20.10.10-8,Saldo Contratual,,-,1812010108
1.8.1.20.10.11-5,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1812010115
1.8.1.20.10.12-2,(-) Receitas Diferidas - TJEO Diferenciada,,-,1812010122
1.8.1.20.10.13-9,Custos de Transação Diferidos - TJEO Diferenciada,,-,1812010139
1.8.1.20.10.14-6,(+/-) Prêmio ou Desconto,,-,1812010146
1.8.1.20.10.15-3,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1812010153
1.8.1.20.10.40-7,(-) Perda incorrida Associada ao Risco de Crédito,,-,1812010407
1.8.1.20.10.50-0,(-) Provisão Adicional,,-,1812010500
1.8.1.20.10.60-3,(-) Perda Esperada Associada ao Risco de Crédito,,-,1812010603
1.8.1.20.10.70-6,(+/-) Ajuste de hedge de valor justo,,-,1812010706
1.8.1.20.10.80-9,(+/-) Ajuste a Valor Justo,,-,1812010809
1.8.1.30.00.00-7,TÍTULOS COM CARACTERÍSTICA DE CONCESSÃO DE CRÉDITO,,172,1813000007
1.8.1.30.10.00-4,Títulos com Característica de Concessão de Crédito,,-,1813010004
1.8.1.30.10.10-7,Saldo Contratual,,-,1813010107
1.8.1.30.10.11-4,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1813010114
1.8.1.30.10.12-1,(-) Receitas Diferidas - TJEO Diferenciada,,-,1813010121
1.8.1.30.10.13-8,Custos de Transação Diferidos - TJEO Diferenciada,,-,1813010138
1.8.1.30.10.14-5,(+/-) Prêmio ou Desconto,,-,1813010145
1.8.1.30.10.15-2,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1813010152
1.8.1.30.10.40-6,(-) Perda incorrida Associada ao Risco de Crédito,,-,1813010406
1.8.1.30.10.50-9,(-) Provisão Adicional,,-,1813010509
1.8.1.30.10.60-2,(-) Perda Esperada Associada ao Risco de Crédito,,-,1813010602
1.8.1.30.10.70-5,(+/-) Ajuste de hedge de valor justo,,-,1813010705
1.8.1.30.10.80-8,(+/-) Ajuste a Valor Justo,,-,1813010808
1.8.1.40.00.00-6,CRÉDITO POR VENDA A PRAZO DE ATIVOS NÃO FINANCEIROS,,190,1814000006
1.8.1.40.10.00-3,Créditos por Venda a Prazo de Ativos Não Financeiro,,-,1814010003
1.8.1.40.10.10-6,Saldo Contratual,,-,1814010106
1.8.1.40.10.11-3,(+/-) Custos de Transação ou Receitas Incluídos na TJEO,,-,1814010113
1.8.1.40.10.12-0,(-) Receitas Diferidas - TJEO Diferenciada,,-,1814010120
1.8.1.40.10.13-7,Custos de Transação Diferidos - TJEO Diferenciada,,-,1814010137
1.8.1.40.10.14-4,(+/-) Prêmio ou Desconto,,-,1814010144
1.8.1.40.10.15-1,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1814010151
1.8.1.40.10.40-5,(-) Perda incorrida Associada ao Risco de Crédito,,-,1814010405
1.8.1.40.10.50-8,(-) Provisão Adicional,,-,1814010508
1.8.1.40.10.60-1,(-) Perda Esperada Associada ao Risco de Crédito,,-,1814010601
1.8.1.40.10.70-4,(+/-) Ajuste de hedge de valor justo,,-,1814010704
1.8.1.40.10.80-7,(+/-) Ajuste a Valor Justo,,-,1814010807
1.8.1.50.00.00-5,DIREITOS CREDITÓRIOS ADQUIRIDOS,,172,1815000005
1.8.1.50.10.00-2,Direitos Creditórios Adquiridos,,-,1815010002
1.8.1.50.10.10-5,Saldo Contratual,,-,1815010105
1.8.1.50.10.11-2,(+/-) Custos de Transação ou Receitas Incluídos na TJEO,,-,1815010112
1.8.1.50.10.12-9,(-) Receitas Diferidas - TJEO Diferenciada,,-,1815010129
1.8.1.50.10.13-6,Custos de Transação Diferidos - TJEO Diferenciada,,-,1815010136
1.8.1.50.10.14-3,(+/-) Prêmio ou Desconto,,-,1815010143
1.8.1.50.10.15-0,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1815010150
1.8.1.50.10.40-4,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1815010404
1.8.1.50.10.50-7,(-) Provisão Adicional,,-,1815010507
1.8.1.50.10.60-0,(-) Perda Esperada Associada ao Risco de Crédito,,-,1815010600
1.8.1.50.10.70-3,(+/-) Ajuste de Hedge de Valor Justo,,-,1815010703
1.8.1.50.10.80-6,(+/-) Ajuste a Valor Justo,,-,1815010806
1.8.1.90.00.00-1,OUTRAS OPERAÇÕES COM CARACTERÍSTICA DE CONCESSÃO DE CRÉDITO,,172,1819000001
1.8.1.90.10.00-8,Outras Operações com Característica de Concessão de Crédito,,-,1819010008
1.8.1.90.10.10-1,Saldo Contratual,,-,1819010101
1.8.1.90.10.11-8,(+/-) Custos de Transação e Receitas Incluídos na TJEO,,-,1819010118
1.8.1.90.10.12-5,(-) Receitas Diferidas - TJEO Diferenciada,,-,1819010125
1.8.1.90.10.13-2,Custos de Transação Diferidos - TJEO Diferenciada,,-,1819010132
1.8.1.90.10.14-9,(+/-) Prêmio ou Desconto,,-,1819010149
1.8.1.90.10.15-6,(+/-) Ajuste Valor Presente - Operações Reestruturadas,,-,1819010156
1.8.1.90.10.40-0,(-) Perda incorrida Associada ao Risco de Crédito,,-,1819010400
1.8.1.90.10.50-3,(-) Provisão Adicional,,-,1819010503
1.8.1.90.10.60-6,(-) Perda Esperada Associada ao Risco de Crédito,,-,1819010606
1.8.1.90.10.70-9,(+/-) Ajuste de hedge de valor justo,,-,1819010709
1.8.1.90.10.80-2,(+/-) Ajuste a Valor Justo,,-,1819010802
1.8.3.00.00.00-4,Rendas a Receber,,-,1830000004
1.8.3.30.00.00-1,COMISSÕES E CORRETAGENS A RECEBER,,172,1833000001
1.8.3.40.00.00-0,COMISSÕES POR COOBRIGAÇÕES A RECEBER,,172,1834000000
1.8.3.50.00.00-9,CORRETAGENS DE CÂMBIO A RECEBER,,172,1835000009
1.8.3.55.00.00-4,VALORES A RECEBER DE EMPRÉSTIMOS DE ATIVOS FINANCEIROS,,172,1835500004
1.8.3.60.00.00-8,DIVIDENDOS E BONIFICAÇÕES EM DINHEIRO A RECEBER,,172,1836000008
1.8.3.70.00.00-7,SERVIÇOS PRESTADOS A RECEBER,,172,1837000007
1.8.3.80.00.00-6,SERVIÇOS PRESTADOS EM ARRANJO DE PAGAMENTO,,172,1838000006
1.8.3.90.00.00-5,OUTRAS RENDAS A RECEBER,,172,1839000005
1.8.4.00.00.00-1,Negociação e Intermediação de Valores,,-,1840000001
1.8.4.05.00.00-6,BOLSAS - DEPÓSITOS EM GARANTIA,,172,1840500006
1.8.4.05.10.00-3,Operações com Ações,,-,1840510003
1.8.4.05.15.00-8,Operações com Índices de Ações,,-,1840515008
1.8.4.05.20.00-0,Operações com Ativos Financeiros e Mercadorias,,-,1840520000
1.8.4.05.99.00-0,Outras Operações,,-,1840599000
1.8.4.10.00.00-0,CAIXAS DE REGISTRO E LIQUIDAÇÃO,,172,1841000000
1.8.4.10.10.00-7,Operações Próprias,,-,1841010007
1.8.4.10.15.00-2,Operações de Clientes,,-,1841015002
1.8.4.10.20.00-4,Operações de Instituições Financeiras,,-,1841020004
1.8.4.30.00.00-8,DEVEDORES - CONTA LIQUIDAÇÕES PENDENTES,,172,1843000008
1.8.4.35.00.00-3,FUNDO DE GARANTIA PARA LIQUIDAÇÃO DE OPERAÇÕES,,172,1843500003
1.8.4.40.00.00-7,OPERAÇÕES COM ATIVOS FINANCEIROS E MERCADORIAS A LIQUIDAR,,172,1844000007
1.8.4.40.10.00-4,Operações Próprias,,-,1844010004
1.8.4.40.15.00-9,Operações de Clientes,,-,1844015009
1.8.4.45.00.00-2,OPERAÇÕES COM ATIVOS VIRTUAIS,,172,1844500002
1.8.4.45.10.00-9,Operações Próprias,,-,1844510009
1.8.4.45.15.00-4,Operações de Clientes,,-,1844515004
1.8.4.45.20.00-6,Operações de Instituições Financeiras,,-,1844520006
1.8.4.48.00.00-1,OPERAÇÕES EM MARGEM - OSCILAÇÕES DE VALORES,,-,1844800001
1.8.4.53.00.00-5,OPERAÇÕES DE INTERMEDIAÇÃO DE SWAP,,172,1845300005
1.8.4.70.00.00-4,CAPTAÇÕES INTERFINANCEIRAS DE TERCEIROS A LIQUIDAR,,172,1847000004
1.8.4.90.00.00-2,OUTROS CRÉDITOS POR NEGOCIAÇÃO E INTERMEDIAÇÃO DE VALORES,,172,1849000002
1.8.5.00.00.00-8,Créditos Específicos,,-,1850000008
1.8.5.10.00.00-7,DEVEDORES LOTÉRICOS - LOTERIA FEDERAL E ESTADUAL,,172,1851000007
1.8.5.30.00.00-5,ADIANTAMENTOS PARA PAGAMENTO PIS/PASEP,,172,1853000005
1.8.5.30.10.00-2,Adiantamentos a Bancos,,-,1853010002
1.8.5.30.20.00-9,Adiantamentos a Empresas,,-,1853020009
1.8.5.36.00.00-3,OPERAÇÕES VINCULADAS A FUNDOS ADMINISTRADOS,,172,1853600003
1.8.5.50.00.00-3,Restituição de Depósitos Judiciais e Administrativos,,172,1855000003
1.8.5.50.10.00-0,Restituição da União,,-,1855010000
1.8.5.50.20.00-7,Restituição de Estados e Distrito Federal,,-,1855020007
1.8.5.50.30.00-4,Restituição de Municípios,,-,1855030004
1.8.5.60.00.00-2,TESOURO NACIONAL - PAGAMENTOS A RESSARCIR,,172,1856000002
1.8.5.90.00.00-9,TESOURO NACIONAL - ALONGAMENTO DE CRÉDITO RURAL,,172,1859000009
1.8.6.00.00.00-5,Direitos Creditórios Oriundos de Ações Judiciais,,-,1860000005
1.8.6.10.00.00-4,PRECATÓRIOS PRÓPRIOS,,172,1861000004
1.8.6.10.10.00-1,Contra a União,,-,1861010001
1.8.6.10.20.00-8,"Contra Estados, DF e Municípios",,-,1861020008
1.8.6.20.00.00-3,PRECATÓRIOS - ADQUIRIDOS - COM REGISTRO PÚBLICO,,172,1862000003
1.8.6.20.10.00-0,Contra a União,,-,1862010000
1.8.6.20.20.00-7,"Contra Estados, DF e Municípios",,-,1862020007
1.8.6.30.00.00-2,PRECATÓRIOS - ADQUIRIDOS - SEM REGISTRO PÚBLICO,,172,1863000002
1.8.6.30.10.00-9,Contra a União,,-,1863010009
1.8.6.30.20.00-6,"Contra Estados, DF e Municípios",,-,1863020006
1.8.6.40.00.00-1,DIREITOS CREDITÓRIOS EM PROCESSO DE EXECUÇÃO - PRÓPRIOS,,172,1864000001
1.8.6.40.10.00-8,Contra a União,,-,1864010008
1.8.6.40.20.00-5,"Contra Estados, DF e Municípios",,-,1864020005
1.8.6.50.00.00-0,DIREITOS CREDITÓRIOS EM PROCESSO DE EXECUÇÃO - ADQUIRIDOS - COM REGISTRO PÚBLICO,,172,1865000000
1.8.6.50.10.00-7,Contra a União,,-,1865010007
1.8.6.50.20.00-4,"Contra Estados, DF e Municípios",,-,1865020004
1.8.6.60.00.00-9,DIREITOS CREDITÓRIOS EM PROCESSO DE EXECUÇÃO - ADQUIRIDOS - SEM REGISTRO PÚBLICO,,172,1866000009
1.8.6.90.00.00-6,OUTROS DIREITOS CREDITÓRIOS ORIUNDOS DE AÇÕES JUDICIAIS,,172,1869000006
1.8.7.00.00.00-2,Valores Específicos,,-,1870000002
1.8.7.50.00.00-7,APLICAÇÕES ESPECIAIS,,172,1875000007
1.8.7.70.00.00-5,CUSTO INCREMENTAL PARA OBTENÇÃO DO CONTRATO DE CONSÓRCIO,,-,1877000005
1.8.7.75.00.00-0,Cotas de grupos de consórcio,,172,1877500000
1.8.7.80.00.00-4,ADIANTAMENTO DE RECURSOS A TERCEIROS,,-,1878000004
1.8.7.82.00.00-0,VALORES A RECEBER - REAJUSTE DE SALDO DE CAIXA,,-,1878200000
1.8.7.88.00.00-8,BENS APREENDIDOS OU RETOMADOS,,-,1878800008
1.8.7.89.00.00-1,DIREITOS POR CRÉDITOS EM PROCESSO DE HABILITAÇÃO,,-,1878900001
1.8.7.93.00.00-2,DIREITOS JUNTO A CONSORCIADOS CONTEMPLADOS,,-,1879300002
1.8.7.93.05.00-7,Normais,,-,1879305007
1.8.7.93.15.00-4,Em Atraso,,-,1879315004
1.8.7.93.20.00-6,Em Cobrança Judicial - Grupos em Andamento,,-,1879320006
1.8.7.97.00.00-4,DIREITOS POR ADIANTAMENTOS A TERCEIROS,,-,1879700004
1.8.7.98.00.00-7,CHEQUES E OUTROS VALORES A RECEBER,,-,1879800007
1.8.8.00.00.00-9,Diversos,,-,1880000009
1.8.8.02.00.00-5,ADIANTAMENTOS AO FGC OU AO FGCOOP,,172,1880200005
1.8.8.03.00.00-8,ADIANTAMENTOS E ANTECIPAÇÕES SALARIAIS,,172,1880300008
1.8.8.05.00.00-4,ADIANTAMENTOS PARA PAGAMENTOS POR CONTA DA INSTITUIÇÃO,,172,1880500004
1.8.8.10.00.00-8,ADIANTAMENTOS POR CONTA DE IMOBILIZAÇÕES,,172,1881000008
1.8.8.15.00.00-3,CHEQUES A RECEBER,,172,1881500003
1.8.8.23.00.00-6,DIREITOS ESPECÍFICOS DE CONTROLADAS NÃO SUJEITAS À AUTORIZAÇÃO DO BANCO CENTRAL,,172,1882300006
1.8.8.25.00.00-2,ATIVOS FISCAIS DIFERIDOS DE IMPOSTOS E CONTRIBUIÇÕES,,172,1882500002
1.8.8.25.30.00-3,Ativos Fiscais Diferidos - MP 992,,-,1882530003
1.8.8.25.50.00-7,Ativos Fiscais Diferidos - Demais,,-,1882550007
1.8.8.30.00.00-6,VALORES A RECEBER EM MOEDA ESTRANGEIRA,,172,1883000006
1.8.8.35.00.00-1,DEVEDORES POR COMPRA DE VALORES E BENS,,172,1883500001
1.8.8.40.00.00-5,DEVEDORES POR DEPÓSITOS EM GARANTIA,,172,1884000005
1.8.8.40.05.00-0,"Para Interposição de Recursos Fiscais Lei 14.973, de 2024",,-,1884005000
1.8.8.40.15.00-7,Para Interposição de Outros Recursos Fiscais,,-,1884015007
1.8.8.40.20.00-9,Para Interposição de Recursos Trabalhistas,,-,1884020009
1.8.8.40.30.00-6,Para Interposição de Recursos Cíveis,,-,1884030006
1.8.8.40.90.00-8,Outros,,-,1884090008
1.8.8.45.00.00-0,IMPOSTOS E CONTRIBUIÇÕES A COMPENSAR,,172,1884500000
1.8.8.45.10.00-7,Antecipações de IRPJ Não Compensadas no Próprio Exercício,,-,1884510007
