conta;Fator_1;Fator_2
resultado credor - outras receitas nao operacionais;-0.0017432388618077433;-0.010448834473418933
resultado devedor - (-) despesas de captacao;0.27008045825570476;-0.062366442958082274
resultado devedor - (-) despesas de obrigacoes por emprestimos e repasses;-0.034806477314395616;0.18528740867882704
resultado devedor - (-) despesas administrativas;0.0028640240986676944;0.021868602436843264
resultado devedor - (-) aprovisionamentos e ajustes patrimoniais;-0.163142794434558;-0.13661283355577286
resultado devedor - (-) outras despesas operacionais;-0.02214599671820621;-0.012100558870255252
resultado devedor - (-) despesas nao operacionais;0.011396346306337244;-0.03525417608382648
resultado devedor - (-) outras despesas nao operacionais;0.009459962599970565;-0.027517890256342093
resultado devedor - (-) apuracao de resultado;0.05532188636776342;0.07843959362825532
resultado devedor - (-) participacoes no lucro;0.044001761271013046;0.013766853047381034
